iter	Passed	Remaining
1580	147975	39216
1581	148096	39130
1582	148242	39050
1583	148332	38956
1584	148439	38865
1585	148562	38779
1586	148683	38693
1587	148813	38609
1588	148983	38534
1589	149105	38448
1590	149200	38355
1591	149294	38261
1592	149382	38166
1593	149479	38073
1594	149577	37980
1595	149664	37885
1596	149752	37789
1597	149863	37700
1598	149980	37612
1599	150089	37522
1600	150205	37434
1601	150317	37344
1602	150408	37250
1603	150509	37158
1604	150596	37062
1605	150691	36969
1606	150811	36881
1607	150911	36789
1608	151021	36699
1609	151122	36607
1610	151251	36521
1611	151387	36438
1612	151512	36351
1613	151629	36263
1614	151726	36169
1615	151832	36078
1616	151917	35982
1617	152037	35895
1618	152155	35806
1619	152252	35713
1620	152365	35624
1621	152465	35531
1622	152576	35441
1623	152688	35351
1624	152790	35259
1625	152907	35170
1626	153033	35083
1627	153156	34996
1628	153263	34905
1629	153372	34814
1630	153464	34719
1631	153558	34625
1632	153671	34536
1633	153778	34444
1634	153891	34354
1635	154021	34268
1636	154167	34186
1637	154326	34106
1638	154452	34019
1639	154560	33927
1640	154680	33839
1641	154802	33751
1642	154931	33664
1643	155070	33579
1644	155232	33499
1645	155369	33414
1646	155519	33332
1647	155659	33247
1648	155792	33161
1649	155902	33070
1650	156034	32983
1651	156251	32914
1652	156379	32827
1653	156489	32736
1654	156601	32645
1655	156734	32558
1656	156857	32469
1657	156965	32377
1658	157068	32284
